epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.00002000,0.474797,78.3929,0.747765,70.0000
2,0.00001931,0.421104,83.9286,0.781543,72.1429
3,0.00001736,0.406127,83.5714,0.825004,73.5714
4,0.00001444,0.384255,85.1786,0.793975,73.5714
5,0.00001100,0.375918,86.7857,0.751290,72.8571
6,0.00000756,0.432960,81.9643,0.786164,73.5714
