epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.00001500,0.490524,79.1803,0.751436,71.4286
2,0.00001410,0.486044,80.9836,0.749026,70.0000
3,0.00001163,0.435474,82.9508,0.783134,72.8571
4,0.00000825,0.444123,81.8033,0.793029,72.8571
5,0.00000488,0.442687,81.3115,0.782882,74.2857
6,0.00000240,0.387395,84.5902,0.797563,74.2857
