epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.00005000,0.941876,55.4688,1.374286,56.2500
2,0.00003875,0.901155,61.7188,1.271171,53.1250
3,0.00001625,0.791696,59.3750,1.279100,56.2500
