epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.00005000,0.804083,61.7857,1.072648,65.0000
2,0.00004890,0.715619,67.1429,0.826941,68.5714
3,0.00004570,0.586872,71.6071,0.830727,68.5714
4,0.00004073,0.519771,75.0000,0.733882,69.2857
5,0.00003445,0.485278,81.0714,0.627666,74.2857
6,0.00002750,0.483241,78.7500,0.756022,72.8571
7,0.00002055,0.453359,80.8929,0.738699,72.8571
8,0.00001427,0.448120,81.2500,0.729535,72.8571
9,0.00000930,0.413692,82.8571,0.764293,72.1429
